补	B-DRUG_EFFICACY
气	I-DRUG_EFFICACY
养	I-DRUG_EFFICACY
血	I-DRUG_EFFICACY
、	O
调	O
经	O
止	O
带	O
，	O
用	O
于	O
月	B-SYMPTOM
经	I-SYMPTOM
不	I-SYMPTOM
调	I-SYMPTOM
、	O
经	B-SYMPTOM
期	I-SYMPTOM
腹	I-SYMPTOM
痛	I-SYMPTOM
非	O
处	O
方	O
药	O
物	O
（	O
甲	O
类	O
）	O
,	O
国	O
家	O
基	O
本	O
药	O
物	O
目	O
录	O
（	O
2	O
0	O
1	O
2	O
）	O
如	O
果	O
服	O
用	O
任	O
何	O
其	O
他	O
药	O
品	O
请	O
告	O
知	O
医	O
师	O
或	O
药	O
师	O
，	O
包	O
括	O
任	O
何	O
从	O
药	O
房	O
、	O
超	O
市	O
或	O
保	O
健	O
品	O
商	O
店	O
购	O
买	O
的	O
非	O
处	O
方	O
药	O
品	O
。	O
本	O
药	O
内	O
所	O
含	O
人	B-DRUG_INGREDIENT
参	I-DRUG_INGREDIENT
、	O
白	B-DRUG_INGREDIENT
芍	I-DRUG_INGREDIENT
，	O
反	B-DRUG_INGREDIENT
藜	I-DRUG_INGREDIENT
芦	I-DRUG_INGREDIENT
，	O
忌	O
与	O
含	B-DRUG_INGREDIENT
藜	I-DRUG_INGREDIENT
芦	I-DRUG_INGREDIENT
的	O
药	O
物	O
同	O
用	O
。	O
本	O
药	O
内	O
所	O
含	O
甘	B-DRUG_INGREDIENT
草	I-DRUG_INGREDIENT
，	O
反	B-DRUG_INGREDIENT
甘	I-DRUG_INGREDIENT
遂	I-DRUG_INGREDIENT
、	O
大	O
戟	O
、	O
海	B-DRUG_INGREDIENT
藻	I-DRUG_INGREDIENT
、	O
芫	B-DRUG_INGREDIENT
花	I-DRUG_INGREDIENT
，	O
忌	O
与	O
含	O
甘	B-DRUG_INGREDIENT
遂	I-DRUG_INGREDIENT
、	O
大	B-DRUG_INGREDIENT
戟	I-DRUG_INGREDIENT
、	O
海	B-DRUG_INGREDIENT
藻	I-DRUG_INGREDIENT
、	O
芫	B-DRUG_INGREDIENT
花	I-DRUG_INGREDIENT
的	O
药	O
物	O
同	O
用	O
。	O
服	O
药	O
期	O
间	O
避	O
免	O
与	O
生	B-FOOD_GROUP
冷	I-FOOD_GROUP
、	O
辛	B-FOOD_GROUP
辣	I-FOOD_GROUP
、	O
荤	B-FOOD_GROUP
腥	I-FOOD_GROUP
油	O
腻	O
、	O
不	B-FOOD_GROUP
易	I-FOOD_GROUP
消	I-FOOD_GROUP
化	I-FOOD_GROUP
食	O
品	O
同	O
用	O
，	O
戒	O
烟	O
酒	O
，	O
以	O
防	O
助	O
湿	O
化	O
热	O
，	O
加	O
重	O
病	O
情	O
。	O
服	O

药	O
期	O
间	O
不	O
宜	O
喝	O
茶	O
和	O
吃	O
萝	B-FOOD
卜	I-FOOD
，	O
不	O
宜	O
同	O
时	O
服	O
用	O
五	O
灵	O
脂	O
、	O
皂	O
荚	O
或	O
其	O
制	O
剂	O
。	O
医	O
师	O
和	O
药	O
师	O
可	O
能	O
对	O
服	O
用	O
同	O
仁	O
乌	B-DRUG
鸡	I-DRUG
白	I-DRUG
凤	I-DRUG
丸	I-DRUG
五	B-DRUG_INGREDIENT
灵	I-DRUG_INGREDIENT
脂	I-DRUG_INGREDIENT
、	O
皂	B-DRUG_INGREDIENT
荚	I-DRUG_INGREDIENT
或	O
其	O
制	O
剂	O
。	O
医	O
师	O
和	O
药	O
师	O
可	O
能	O
对	O
服	O
用	O
同	O
仁	O
乌	O
鸡	O
白	O
凤	O
丸	O
（	O
口	O
服	O
液	O
）	O
应	O
注	O
意	O
事	O
项	O
具	O
有	O
更	O
多	O
的	O
信	O
息	O
。	O
复	O
合	O
膜	O
，	O
9	O
克	O
/	O
袋	O
X	O
1	O
0	O
袋	O
/	O
盒	O
丸	O
剂	O
(	O
小	O
蜜	O
丸	O
)	O
补	B-DRUG_EFFICACY
气	I-DRUG_EFFICACY
养	I-DRUG_EFFICACY
血	I-DRUG_EFFICACY
，	O
调	O
经	O
止	O
带	O
。	O
用	O
于	O
心	B-SYMPTOM
慌	I-SYMPTOM
气	I-SYMPTOM
短	I-SYMPTOM
，	O
疲	B-SYMPTOM
乏	I-SYMPTOM
无	I-SYMPTOM
力	I-SYMPTOM
，	O
月	B-SYMPTOM
经	I-SYMPTOM
不	I-SYMPTOM
调	I-SYMPTOM
，	O
腰	B-SYMPTOM
